Date,Close
9/1/2020,97.39
9/2/2020,99.65
9/3/2020,93.18
9/4/2020,94.72
9/8/2020,93.14
9/9/2020,95.42
9/10/2020,93.5
9/11/2020,94.96
9/14/2020,98.17
9/15/2020,98.39
9/16/2020,97.8
9/17/2020,100.45
9/18/2020,97.96
9/21/2020,95.13
9/22/2020,95.24
9/23/2020,80.42
9/24/2020,83.31
9/25/2020,84.52
9/28/2020,84.84
9/29/2020,86.86
9/30/2020,89.28
10/1/2020,86.73
10/2/2020,89.29
10/5/2020,94.76
10/6/2020,93.74
10/7/2020,96.69
10/8/2020,96.95
10/9/2020,96.03
10/12/2020,94.94
10/13/2020,95.14
10/14/2020,94.59
10/15/2020,94.35
10/16/2020,93.42
10/19/2020,92.57
10/20/2020,93.56
10/21/2020,95.87
10/22/2020,94.96
10/23/2020,96.48
10/26/2020,94.48
10/27/2020,95.18
10/28/2020,90.78
10/29/2020,93.77
10/30/2020,93.21
11/2/2020,96.84
11/3/2020,97.62
11/4/2020,93.43
11/5/2020,105.5
11/6/2020,112.22
11/9/2020,116.73
11/10/2020,117.93
11/11/2020,118.57
11/12/2020,118.64
11/13/2020,122.48
11/16/2020,128.92
11/17/2020,127.95
11/18/2020,126.54
11/19/2020,125.8
11/20/2020,127.89
11/23/2020,134.06
11/24/2020,137.26
11/25/2020,134.73
11/27/2020,137.66
11/30/2020,135.97
12/1/2020,135.88
12/2/2020,135.25
12/3/2020,131.72
12/4/2020,139.22
12/7/2020,140
12/8/2020,143.95
12/9/2020,142.55
12/10/2020,141.43
12/11/2020,138.65
12/14/2020,134.57
12/15/2020,137.94
12/16/2020,135.78
12/17/2020,137.48
12/18/2020,138.9
12/21/2020,142.02
12/22/2020,146.27
12/23/2020,149.91
12/24/2020,149.64
12/28/2020,149.72
12/29/2020,146.22
12/30/2020,149.29
12/31/2020,147.52
1/4/2021,152.63
1/5/2021,162.93
1/6/2021,175.1
1/7/2021,184
1/8/2021,184.1
1/11/2021,177.29
1/12/2021,182.5
1/13/2021,179.92
1/14/2021,182.37
1/15/2021,180.14
1/19/2021,185.25
1/20/2021,180.19
1/21/2021,176.41
1/22/2021,173.71
1/25/2021,176.92
1/26/2021,175.38
1/27/2021,168.85
1/28/2021,166.37
1/29/2021,162.66
2/1/2021,166.37
2/2/2021,169.25
2/3/2021,161.88
2/4/2021,154.9
2/5/2021,157.17
2/8/2021,161.56
2/9/2021,158.69
2/10/2021,156.05
2/11/2021,159.85
2/12/2021,164.64
2/16/2021,162.2
2/17/2021,157.47
2/18/2021,141.46
2/19/2021,156.17
2/22/2021,156.49
2/23/2021,154.62
2/24/2021,160.9
2/25/2021,153.48
2/26/2021,157.21
3/1/2021,152.95
3/2/2021,153.72
3/3/2021,147
3/4/2021,141.51
3/5/2021,143.88
3/8/2021,140.69
3/9/2021,145.77
3/10/2021,152.3
3/11/2021,161.27
3/12/2021,157.28
3/15/2021,158.83
3/16/2021,155.36
3/17/2021,155.91
3/18/2021,152.52
3/19/2021,151.5
3/22/2021,152.15
3/23/2021,146.47
3/24/2021,146.63
3/25/2021,148.93
3/26/2021,150.4
3/29/2021,146.41
3/30/2021,145.39
3/31/2021,146.11
4/1/2021,150.74
4/5/2021,150.22
4/6/2021,152.89
4/7/2021,143.7
4/8/2021,146.17
4/9/2021,147.32
4/12/2021,147.71
4/13/2021,148.58
4/14/2021,152.93
4/15/2021,150.51
4/16/2021,152.03
4/19/2021,157.5
4/20/2021,148.52
4/21/2021,153.05
4/22/2021,155.8
4/23/2021,161.23
4/26/2021,170.57
4/27/2021,169.75
4/28/2021,169.4
4/29/2021,167.62
4/30/2021,168.17
5/3/2021,165.99
5/4/2021,162.11
5/5/2021,167.15
5/6/2021,152.85
5/7/2021,162.72
5/10/2021,159.48
5/11/2021,160.5
5/12/2021,154.6
5/13/2021,157.69
5/14/2021,163.81
5/17/2021,157.79
5/18/2021,159.35
5/19/2021,156.98
5/20/2021,157.99
5/21/2021,159.58
5/24/2021,159.59
5/25/2021,158.02
5/26/2021,162.2
5/27/2021,168.56
5/28/2021,167.08
6/1/2021,171.43
6/2/2021,170.36
6/3/2021,168.17
6/4/2021,173.54
6/7/2021,170.78
6/8/2021,176.01
6/9/2021,174.37
6/10/2021,167.78
6/11/2021,170.18
6/14/2021,168.34
6/15/2021,166.03
6/16/2021,165.28
6/17/2021,163.87
6/18/2021,157.97
6/21/2021,161.41
6/22/2021,161.58
6/23/2021,163.67
6/24/2021,165.97
6/25/2021,166.77
6/28/2021,169.05
6/29/2021,167.54
6/30/2021,168.46
7/1/2021,172.03
7/2/2021,170.65
7/6/2021,168.56
7/7/2021,170.04
7/8/2021,167.91
7/9/2021,175.51
7/12/2021,187.49
7/13/2021,184.86
7/14/2021,182.52
7/15/2021,185.83
7/16/2021,180.66
7/19/2021,178.08
7/20/2021,187.25
7/21/2021,190.22
7/22/2021,192.76
7/23/2021,190.35
7/26/2021,194.84
7/27/2021,188.99
7/28/2021,194.54
7/29/2021,202.82
7/30/2021,206.04
8/2/2021,206.9
8/3/2021,206.98
8/4/2021,206.84
8/5/2021,218.62
8/6/2021,226.71
8/9/2021,231.38
8/10/2021,239.03
8/11/2021,235.99
8/12/2021,236.54
8/13/2021,235.22
8/16/2021,225.9
8/17/2021,216.45
8/18/2021,217.73
8/19/2021,213.35
8/20/2021,219.68
8/23/2021,227.94
8/24/2021,229.2
8/25/2021,234.17
8/26/2021,230.7
8/27/2021,236.65
8/30/2021,236.98
8/31/2021,236.74
9/1/2021,239.2
9/2/2021,244.03
9/3/2021,241.86
9/7/2021,238.78
9/8/2021,239.28
9/9/2021,243.41
9/10/2021,241.17
9/13/2021,229.13
9/14/2021,230.47
9/15/2021,233.98
9/16/2021,231.25
9/17/2021,226.85
9/20/2021,215.48
9/21/2021,216.49
9/22/2021,223.28
9/23/2021,229.15
9/24/2021,226.4
9/27/2021,222.25
9/28/2021,216.45
9/29/2021,218.97
9/30/2021,218.97
10/1/2021,218.89
10/4/2021,215.21
10/5/2021,222.39
10/6/2021,222.37
10/7/2021,222.3
10/8/2021,215.06
10/11/2021,214.16
10/12/2021,216.87
10/13/2021,223.66
10/14/2021,231.33
10/15/2021,228.77
