Date,Close
9/1/2020,14.72
9/2/2020,14.95
9/3/2020,14.52
9/4/2020,14.47
9/8/2020,14.03
9/9/2020,14.08
9/10/2020,14.17
9/11/2020,14.13
9/14/2020,14.31
9/15/2020,14.85
9/16/2020,14.64
9/17/2020,14.48
9/18/2020,14.08
9/21/2020,13.58
9/22/2020,13.49
9/23/2020,12.85
9/24/2020,12.96
9/25/2020,12.86
9/28/2020,13.35
9/29/2020,13.44
9/30/2020,13.14
10/1/2020,13.13
10/2/2020,13.22
10/5/2020,14.02
10/6/2020,13.81
10/7/2020,14
10/8/2020,14.62
10/9/2020,14.84
10/12/2020,15.14
10/13/2020,14.54
10/14/2020,14.49
10/15/2020,14.27
10/16/2020,14.64
10/19/2020,14.5
10/20/2020,14.25
10/21/2020,14.2
10/22/2020,14.52
10/23/2020,14.3
10/26/2020,14.03
10/27/2020,13.7
10/28/2020,13.3
10/29/2020,13.5
10/30/2020,12.92
11/2/2020,12.9
11/3/2020,13.43
11/4/2020,12.91
11/5/2020,13.38
11/6/2020,13.35
11/9/2020,14.15
11/10/2020,14.58
11/11/2020,14.28
11/12/2020,13.98
11/13/2020,14.46
11/16/2020,14.83
11/17/2020,14.85
11/18/2020,14.68
11/19/2020,14.81
11/20/2020,14.87
11/23/2020,14.98
11/24/2020,15.7
11/25/2020,15.52
11/27/2020,15.6
11/30/2020,15.16
12/1/2020,15.36
12/2/2020,15.41
12/3/2020,15.28
12/4/2020,15.67
12/7/2020,15.62
12/8/2020,15.87
12/9/2020,16.26
12/10/2020,16.33
12/11/2020,16.36
12/14/2020,16.29
12/15/2020,16.19
12/16/2020,15.69
12/17/2020,15.78
12/18/2020,15.3
12/21/2020,15
12/22/2020,15.42
12/23/2020,15.6
12/24/2020,15.57
12/28/2020,15.59
12/29/2020,15.45
12/30/2020,15.63
12/31/2020,15.52
1/4/2021,15.86
1/5/2021,16.35
1/6/2021,17.21
1/7/2021,17.27
1/8/2021,16.75
1/11/2021,16.52
1/12/2021,17.12
1/13/2021,17.41
1/14/2021,17.67
1/15/2021,17.8
1/19/2021,17.94
1/20/2021,18.16
1/21/2021,17.85
1/22/2021,18.44
1/25/2021,18.45
1/26/2021,17.68
1/27/2021,17.11
1/28/2021,17.02
1/29/2021,16.55
2/1/2021,17.02
2/2/2021,17.31
2/3/2021,17.11
2/4/2021,17.32
2/5/2021,17.73
2/8/2021,18.43
2/9/2021,19.19
2/10/2021,19.03
2/11/2021,19.02
2/12/2021,18.6
2/16/2021,18.49
2/17/2021,18.31
2/18/2021,18.22
2/19/2021,19.09
2/22/2021,19.65
2/23/2021,19.8
2/24/2021,20.05
2/25/2021,19.85
2/26/2021,19.52
3/1/2021,20.35
3/2/2021,20.15
3/3/2021,20.44
3/4/2021,19.97
3/5/2021,20.8
3/8/2021,21.25
3/9/2021,20.78
