Date,Close
9/1/2020,37.78
9/2/2020,38.41
9/3/2020,37.47
9/4/2020,38.51
9/8/2020,37.28
9/9/2020,38.41
9/10/2020,37.91
9/11/2020,37.86
9/14/2020,38.47
9/15/2020,38.34
9/16/2020,38.75
9/17/2020,40.11
9/18/2020,39.49
9/21/2020,35.76
9/22/2020,35.96
9/23/2020,35.51
9/24/2020,35.37
9/25/2020,35.23
9/28/2020,36.4
9/29/2020,36.04
9/30/2020,36.03
10/1/2020,36.29
10/2/2020,37.92
10/5/2020,39.69
10/6/2020,39.57
10/7/2020,40.96
10/8/2020,40.8
10/9/2020,40.68
10/12/2020,41.02
10/13/2020,40.53
10/14/2020,40.7
10/15/2020,40.9
10/16/2020,41.09
10/19/2020,40.88
10/20/2020,40.98
10/21/2020,40.39
10/22/2020,40.72
10/23/2020,41.1
10/26/2020,39.62
10/27/2020,38.63
10/28/2020,37.14
10/29/2020,37.96
10/30/2020,38.01
11/2/2020,39.57
11/3/2020,40.76
11/4/2020,38.66
11/5/2020,41.34
11/6/2020,41.22
11/9/2020,42.9
11/10/2020,43.18
11/11/2020,41.56
11/12/2020,39.88
11/13/2020,40.97
11/16/2020,42.27
11/17/2020,42.08
11/18/2020,41.52
11/19/2020,41.69
11/20/2020,41.83
11/23/2020,44.11
11/24/2020,44.85
11/25/2020,43.59
11/27/2020,43.61
11/30/2020,41.41
12/1/2020,41.51
12/2/2020,41.68
12/3/2020,41.41
12/4/2020,43.02
12/7/2020,42.24
12/8/2020,42.01
12/9/2020,41.72
12/10/2020,41.73
12/11/2020,41.77
12/14/2020,40.95
12/15/2020,41.57
12/16/2020,42.42
12/17/2020,43.45
12/18/2020,44.28
12/21/2020,44.16
12/22/2020,43.82
12/23/2020,44.39
12/24/2020,44.32
12/28/2020,44.46
12/29/2020,43.83
12/30/2020,44.78
12/31/2020,44.88
1/4/2021,44.4
1/5/2021,45.79
1/6/2021,48.12
1/7/2021,48.21
1/8/2021,48.14
1/11/2021,48.52
1/12/2021,49.67
1/13/2021,48.83
1/14/2021,48.93
1/15/2021,47.44
1/19/2021,47.93
1/20/2021,47.86
1/21/2021,47.08
1/22/2021,47.1
1/25/2021,46.02
1/26/2021,44.99
1/27/2021,43.84
1/28/2021,44.39
1/29/2021,43.91
2/1/2021,46.17
2/2/2021,46.3
2/3/2021,47.24
2/4/2021,46.58
2/5/2021,47.35
2/8/2021,48.12
2/9/2021,48.25
2/10/2021,48.29
2/11/2021,48.71
2/12/2021,49.09
2/16/2021,49.94
2/17/2021,49.54
2/18/2021,48.55
2/19/2021,49.8
2/22/2021,50.52
2/23/2021,50.37
2/24/2021,51.58
2/25/2021,49.8
2/26/2021,49.23
3/1/2021,50.71
3/2/2021,50.22
3/3/2021,49.88
3/4/2021,48.84
3/5/2021,50.78
3/8/2021,51.88
3/9/2021,51.5
3/10/2021,52.92
3/11/2021,52.82
3/12/2021,53.05
3/15/2021,52.66
3/16/2021,52.7
3/17/2021,54.11
3/18/2021,53.26
3/19/2021,52.7
3/22/2021,52.47
3/23/2021,49.9
3/24/2021,50.33
3/25/2021,51.31
3/26/2021,52.56
3/29/2021,51.44
3/30/2021,52.51
3/31/2021,52.44
4/1/2021,53.28
4/5/2021,53.74
4/6/2021,54.15
4/7/2021,53.36
4/8/2021,52.86
4/9/2021,53.16
4/12/2021,53.92
4/13/2021,52.91
4/14/2021,53.44
4/15/2021,54.07
4/16/2021,54.75
4/19/2021,54.74
4/20/2021,53.89
4/21/2021,55.29
4/22/2021,54.3
4/23/2021,55.4
4/26/2021,55.68
4/27/2021,56.2
4/28/2021,56.74
4/29/2021,56.43
4/30/2021,54.88
5/3/2021,56.09
5/4/2021,57.4
5/5/2021,60.91
5/6/2021,62.92
5/7/2021,62.37
5/10/2021,61.52
5/11/2021,61.58
5/12/2021,60.1
5/13/2021,61.33
5/14/2021,62.28
5/17/2021,63.11
5/18/2021,62.33
5/19/2021,61.83
5/20/2021,62.05
5/21/2021,62.73
5/24/2021,63.16
5/25/2021,62.02
5/26/2021,62.61
5/27/2021,63.37
5/28/2021,63.58
6/1/2021,64.76
6/2/2021,63.87
6/3/2021,64.28
6/4/2021,64.85
6/7/2021,63.29
6/8/2021,63.68
6/9/2021,62.82
6/10/2021,62.31
6/11/2021,62.59
6/14/2021,61.49
6/15/2021,61.38
6/16/2021,60.57
6/17/2021,57.72
6/18/2021,56.49
6/21/2021,57.61
6/22/2021,57.13
6/23/2021,57.27
6/24/2021,57.04
6/25/2021,56.74
