Date,Close
9/1/2020,29.44
9/2/2020,30.13
9/3/2020,29.41
9/4/2020,29.32
9/8/2020,28.3
9/9/2020,28.74
9/10/2020,29.14
9/11/2020,29.02
9/14/2020,28.97
9/15/2020,29.45
9/16/2020,29.23
9/17/2020,29.58
9/18/2020,28.99
9/21/2020,28.22
9/22/2020,28.09
9/23/2020,27.46
9/24/2020,27.63
9/25/2020,28.38
9/28/2020,28.97
9/29/2020,28.59
9/30/2020,28.81
10/1/2020,28.68
10/2/2020,29.37
10/5/2020,30.11
10/6/2020,30.09
10/7/2020,30.53
10/8/2020,32.33
10/9/2020,33.43
10/12/2020,33.59
10/13/2020,33.7
10/14/2020,33.82
10/15/2020,33.99
10/16/2020,34.08
10/19/2020,33.52
10/20/2020,33.07
10/21/2020,32.9
10/22/2020,33.13
10/23/2020,33.17
10/26/2020,32.71
10/27/2020,32.34
10/28/2020,31.86
10/29/2020,32.5
10/30/2020,32.98
11/2/2020,33.48
11/3/2020,32.93
11/4/2020,32.78
11/5/2020,33.94
11/6/2020,33.7
11/9/2020,34.64
11/10/2020,36.23
11/11/2020,36.63
11/12/2020,35.06
11/13/2020,36.01
11/16/2020,37.43
11/17/2020,37.02
11/18/2020,36.69
11/19/2020,36.96
11/20/2020,37.16
11/23/2020,37.79
11/24/2020,38.9
11/25/2020,38.58
11/27/2020,38.41
11/30/2020,38.32
12/1/2020,38.31
12/2/2020,38.27
12/3/2020,38.21
12/4/2020,38.65
12/7/2020,37.94
12/8/2020,38.42
12/9/2020,39.01
12/10/2020,38.74
12/11/2020,38.39
12/14/2020,38.76
12/15/2020,39.22
12/16/2020,39.08
12/17/2020,39.68
12/18/2020,39.41
12/21/2020,39.55
12/22/2020,38.98
12/23/2020,39.18
12/24/2020,39.5
12/28/2020,38.35
12/29/2020,37.94
12/30/2020,38.44
12/31/2020,38.72
1/4/2021,38.35
1/5/2021,38.82
1/6/2021,41.07
1/7/2021,41.8
1/8/2021,43.25
1/11/2021,43.62
1/12/2021,44.58
1/13/2021,44.13
1/14/2021,44.21
1/15/2021,43.75
1/19/2021,43.53
1/20/2021,43.66
1/21/2021,41.65
1/22/2021,42.06
1/25/2021,41.3
1/26/2021,39.48
1/27/2021,38.69
1/28/2021,40.29
1/29/2021,39.86
2/1/2021,40.71
2/2/2021,41.49
2/3/2021,41.86
2/4/2021,42.66
2/5/2021,43.9
2/8/2021,43.61
2/9/2021,43.43
2/10/2021,43.04
2/11/2021,43.54
2/12/2021,44.37
2/16/2021,45.28
2/17/2021,44.98
2/18/2021,44.2
2/19/2021,45.47
2/22/2021,46.68
2/23/2021,46.43
2/24/2021,46.41
2/25/2021,45.36
2/26/2021,45.15
3/1/2021,46.27
3/2/2021,45.78
3/3/2021,45.34
3/4/2021,43.85
3/5/2021,44.84
3/8/2021,44.9
3/9/2021,44.71
3/10/2021,47
3/11/2021,46.86
3/12/2021,46.9
3/15/2021,46.83
3/16/2021,46.17
3/17/2021,47.26
3/18/2021,46.96
3/19/2021,47.07
3/22/2021,47.3
3/23/2021,45.85
3/24/2021,46.19
3/25/2021,46.78
3/26/2021,47.91
3/29/2021,47.77
3/30/2021,46.94
3/31/2021,46.62
4/1/2021,46.74
4/5/2021,47.04
4/6/2021,47.74
4/7/2021,46.75
4/8/2021,46.93
4/9/2021,47.13
4/12/2021,47.1
4/13/2021,46.87
4/14/2021,47.22
4/15/2021,47.52
4/16/2021,47.5
4/19/2021,47.52
4/20/2021,46.96
4/21/2021,48.28
4/22/2021,48.08
4/23/2021,48.63
4/26/2021,48.87
4/27/2021,49.16
4/28/2021,49.19
4/29/2021,49.56
4/30/2021,48.76
5/3/2021,49.73
5/4/2021,49.79
5/5/2021,47.68
5/6/2021,48.41
5/7/2021,48.86
5/10/2021,46.99
5/11/2021,47.09
5/12/2021,45.18
5/13/2021,45.92
5/14/2021,46.32
5/17/2021,46.22
5/18/2021,45.78
5/19/2021,44.82
5/20/2021,44.13
5/21/2021,44.7
5/24/2021,45.15
5/25/2021,44.6
5/26/2021,44.78
5/27/2021,45.18
5/28/2021,45.5
6/1/2021,45.97
6/2/2021,45.66
6/3/2021,45.98
6/4/2021,45.96
6/7/2021,45.93
6/8/2021,45.9
6/9/2021,45.49
6/10/2021,44.56
6/11/2021,44.54
6/14/2021,43.96
6/15/2021,44.31
6/16/2021,43.7
6/17/2021,43.51
6/18/2021,42.71
6/21/2021,43.41
6/22/2021,43.49
6/23/2021,43.57
6/24/2021,44.35
6/25/2021,44.16
6/28/2021,44.34
6/29/2021,44.28
6/30/2021,44.35
7/1/2021,44.62
7/2/2021,44.5
7/6/2021,44.09
7/7/2021,43.38
7/8/2021,42.9
7/9/2021,43.45
7/12/2021,43.8
7/13/2021,43.05
7/14/2021,42.67
7/15/2021,42.42
7/16/2021,41.81
7/19/2021,40.93
7/20/2021,41.73
7/21/2021,42.21
7/22/2021,42.27
7/23/2021,42.13
7/26/2021,42.35
7/27/2021,42.53
7/28/2021,42.82
7/29/2021,43.22
7/30/2021,42.78
8/2/2021,42.48
8/3/2021,43.07
8/4/2021,42.27
8/5/2021,41.44
8/6/2021,44.76
8/9/2021,45.18
8/10/2021,45.63
8/11/2021,45.74
8/12/2021,46.06
8/13/2021,45.99
8/16/2021,45.17
8/17/2021,45.07
8/18/2021,43.94
8/19/2021,42.55
8/20/2021,41.94
8/23/2021,41.95
8/24/2021,42.55
8/25/2021,43.78
8/26/2021,43.99
8/27/2021,44.18
8/30/2021,43.76
8/31/2021,43.97
9/1/2021,44.38
9/2/2021,44.92
9/3/2021,44.92
9/7/2021,44.33
9/8/2021,44.14
9/9/2021,43.58
9/10/2021,43.42
9/13/2021,43.14
9/14/2021,42.26
9/15/2021,42.97
9/16/2021,42.58
9/17/2021,41.87
9/20/2021,41.49
9/21/2021,41.4
9/22/2021,41.94
9/23/2021,42.41
9/24/2021,42.31
9/27/2021,43.46
9/28/2021,43.04
9/29/2021,42.86
9/30/2021,42.08
10/1/2021,43.5
10/4/2021,42.55
10/5/2021,43.46
10/6/2021,42
10/7/2021,42.49
10/8/2021,42.78
10/11/2021,42.46
10/12/2021,41.95
10/13/2021,42.24
10/14/2021,43.37
10/15/2021,43.51
10/18/2021,43.28
10/19/2021,43.63
10/20/2021,44.13
10/21/2021,42.71
10/22/2021,42.75
10/25/2021,42.52
10/26/2021,42.71
10/27/2021,42.11
10/28/2021,43.04
10/29/2021,43.15
11/1/2021,43.01
11/2/2021,42.84
11/3/2021,44.81
11/4/2021,47.4
11/5/2021,47.6
11/8/2021,46.54
11/9/2021,46.54
11/10/2021,47.68
11/11/2021,47.69
11/12/2021,48.7
11/15/2021,48.37
11/16/2021,48.43
11/17/2021,48.35
11/18/2021,48.67
11/19/2021,47.81
11/22/2021,47.55
11/23/2021,47.9
11/24/2021,47.57
11/26/2021,46.83
11/29/2021,46.59
11/30/2021,45
12/1/2021,44.66
12/2/2021,46.19
12/3/2021,46.04
12/6/2021,47.1
12/7/2021,47.75
12/8/2021,48.11
12/9/2021,48.03
12/10/2021,47.96
12/13/2021,46.63
12/14/2021,46.31
12/15/2021,46.09
12/16/2021,46.98
12/17/2021,46.08
12/20/2021,44.76
12/21/2021,45.82
12/22/2021,45.93
12/23/2021,46.44
12/27/2021,47.01
12/28/2021,47.38
12/29/2021,47.35
12/30/2021,47.12
12/31/2021,47.28
1/3/2022,46.9
1/4/2022,47.77
1/5/2022,47.24
1/6/2022,47.9
1/7/2022,48.42
1/10/2022,47.39
1/11/2022,48.41
1/12/2022,48.86
1/13/2022,48.9
1/14/2022,48.6
1/18/2022,48.14
1/19/2022,47.22
1/20/2022,46.54
1/21/2022,45.44
1/24/2022,46.07
1/25/2022,46.05
1/26/2022,46.01
1/27/2022,46.84
1/28/2022,47.46
1/31/2022,48.08
2/1/2022,47.93
2/2/2022,48.13
2/3/2022,48.53
2/4/2022,50.25
2/7/2022,49.55
2/8/2022,50.37
2/9/2022,51.54
2/10/2022,50.95
2/11/2022,51.05
2/14/2022,50.9
2/15/2022,50.89
2/16/2022,51.46
2/17/2022,51.27
2/18/2022,50.7
2/22/2022,50.67
2/23/2022,50.42
2/24/2022,50.05
2/25/2022,51.84
2/28/2022,52.03
3/1/2022,50.37
3/2/2022,51.3
3/3/2022,51.52
3/4/2022,51.48
3/7/2022,51.22
3/8/2022,50.08
3/9/2022,51.53
3/10/2022,53.59
3/11/2022,53.65
3/14/2022,54.21
