Date,Close
9/1/2020,68.86
9/2/2020,70.74
9/3/2020,66.9
9/4/2020,66.54
9/8/2020,62.51
9/9/2020,64.8
9/10/2020,64.99
9/11/2020,65.39
9/14/2020,67.65
9/15/2020,68.98
9/16/2020,68.09
9/17/2020,68.11
9/18/2020,66.56
9/21/2020,66.6
9/22/2020,67.07
9/23/2020,66.91
9/24/2020,68.2
9/25/2020,69.22
9/28/2020,71.4
9/29/2020,73.2
9/30/2020,74.34
10/1/2020,76.65
10/2/2020,75.92
10/5/2020,78.9
10/6/2020,80.09
10/7/2020,81.76
10/8/2020,82.15
10/9/2020,82.75
10/12/2020,83.61
10/13/2020,83.91
10/14/2020,82.43
10/15/2020,82.02
10/16/2020,81.41
10/19/2020,81.02
10/20/2020,80.62
10/21/2020,79.9
10/22/2020,78.63
10/23/2020,78.35
10/26/2020,77.23
10/27/2020,76.71
10/28/2020,74.72
10/29/2020,75.87
10/30/2020,74.77
11/2/2020,77.05
11/3/2020,80.06
11/4/2020,82.93
11/5/2020,84.58
11/6/2020,87.37
11/9/2020,88.02
11/10/2020,86
11/11/2020,87.6
11/12/2020,85.04
11/13/2020,85.32
11/16/2020,87.76
11/17/2020,88.21
11/18/2020,88.76
11/19/2020,89.97
11/20/2020,89.22
11/23/2020,90.01
11/24/2020,89.98
11/25/2020,88.96
11/27/2020,90.28
11/30/2020,92.62
12/1/2020,94
12/2/2020,93.19
12/3/2020,93.39
12/4/2020,96.22
12/7/2020,97.67
12/8/2020,99.03
12/9/2020,92.47
12/10/2020,93.1
12/11/2020,94.19
12/14/2020,95.34
12/15/2020,97.63
12/16/2020,95.01
12/17/2020,96.29
12/18/2020,95.78
12/21/2020,97.9
12/22/2020,97.6
12/23/2020,95.77
12/24/2020,96.26
12/28/2020,94.58
12/29/2020,94.37
12/30/2020,96.37
12/31/2020,96.1
1/4/2021,95.2
1/5/2021,96.92
1/6/2021,96.01
1/7/2021,99.46
1/8/2021,99.53
1/11/2021,101.5
1/12/2021,103.61
1/13/2021,104.99
1/14/2021,108.6
1/15/2021,107.57
1/19/2021,109.62
1/20/2021,108.91
1/21/2021,113.56
1/22/2021,112.33
1/25/2021,108.6
1/26/2021,105.84
1/27/2021,99.94
1/28/2021,101.37
1/29/2021,98.39
2/1/2021,102.04
2/2/2021,98.11
2/3/2021,95.46
2/4/2021,95.9
2/5/2021,94.37
2/8/2021,96.7
2/9/2021,96.11
2/10/2021,95.75
2/11/2021,99.11
2/12/2021,103.28
2/16/2021,107.25
2/17/2021,103.17
2/18/2021,102.15
2/19/2021,105.57
2/22/2021,104.3
2/23/2021,103.99
2/24/2021,109.08
2/25/2021,103.71
2/26/2021,105.21
3/1/2021,109.65
3/2/2021,104.06
3/3/2021,101.82
3/4/2021,97.22
3/5/2021,100.32
3/8/2021,93.99
3/9/2021,101.53
3/10/2021,98.66
3/11/2021,104.66
3/12/2021,102.58
3/15/2021,105.47
3/16/2021,105.44
3/17/2021,106.82
3/18/2021,101.61
3/19/2021,102.87
3/22/2021,105
3/23/2021,102.24
3/24/2021,102.65
3/25/2021,103.75
3/26/2021,110.03
3/29/2021,106.6
3/30/2021,108.8
3/31/2021,111.8
4/1/2021,120.09
4/5/2021,120.41
4/6/2021,119.15
4/7/2021,118.63
4/8/2021,122.05
4/9/2021,121.45
4/12/2021,119.7
4/13/2021,118.31
4/14/2021,118
4/15/2021,119.3
4/16/2021,117.38
4/19/2021,113.15
4/20/2021,110.72
4/21/2021,113.21
4/22/2021,109.99
4/23/2021,113.15
4/26/2021,115.26
4/27/2021,114.78
4/28/2021,114.79
4/29/2021,114.91
4/30/2021,112.58
5/3/2021,111.36
5/4/2021,108.89
5/5/2021,110.7
5/6/2021,111.3
5/7/2021,114.71
5/10/2021,108.2
5/11/2021,109.19
5/12/2021,101.61
5/13/2021,105.35
5/14/2021,109.45
5/17/2021,107.35
5/18/2021,106.23
5/19/2021,108.05
5/20/2021,111.16
5/21/2021,109.81
5/24/2021,113.18
5/25/2021,113.07
5/26/2021,113.37
5/27/2021,113.89
5/28/2021,114.45
6/1/2021,114.01
6/2/2021,114.83
6/3/2021,112.78
6/4/2021,116.22
6/7/2021,115
6/8/2021,113.81
6/9/2021,113.8
6/10/2021,115.57
6/11/2021,116.41
6/14/2021,119.36
6/15/2021,119.67
6/16/2021,119.87
6/17/2021,119.89
6/18/2021,117.24
6/21/2021,117.86
6/22/2021,120.7
6/23/2021,118.57
6/24/2021,119.3
6/25/2021,117.75
6/28/2021,121.4
6/29/2021,123.26
6/30/2021,122.97
7/1/2021,118.5
7/2/2021,118.58
7/6/2021,117.87
7/7/2021,116.95
7/8/2021,115.54
7/9/2021,118
7/12/2021,118.54
7/13/2021,117.72
7/14/2021,117.82
7/15/2021,114.97
7/16/2021,112.26
7/19/2021,112.55
7/20/2021,116.49
7/21/2021,119.63
7/22/2021,118.41
7/23/2021,119.71
7/26/2021,118.76
7/27/2021,116.44
7/28/2021,119.78
7/29/2021,120.15
7/30/2021,120.64
8/2/2021,121.31
8/3/2021,122.74
8/4/2021,124.21
8/5/2021,121.96
8/6/2021,121.58
8/9/2021,121.72
8/10/2021,119.98
8/11/2021,116.24
8/12/2021,113.41
8/13/2021,116.15
8/16/2021,116.04
8/17/2021,112.85
8/18/2021,111.63
8/19/2021,112.82
8/20/2021,112.58
8/23/2021,115.12
8/24/2021,115.15
8/25/2021,115.75
8/26/2021,116.33
8/27/2021,120.07
8/30/2021,120.7
8/31/2021,120.14
9/1/2021,119.45
9/2/2021,121.07
9/3/2021,121.81
9/7/2021,121.69
9/8/2021,119.8
9/9/2021,119.71
9/10/2021,120.64
9/13/2021,124.07
9/14/2021,128.06
9/15/2021,131.09
9/16/2021,133.07
9/17/2021,132.05
9/20/2021,128.76
9/21/2021,129.98
9/22/2021,133.59
9/23/2021,134.83
9/24/2021,132.46
9/27/2021,130.45
9/28/2021,123.65
9/29/2021,126.07
9/30/2021,125.9
10/1/2021,124.86
10/4/2021,120.15
10/5/2021,121.17
10/6/2021,120.36
10/7/2021,121.75
10/8/2021,121.18
10/11/2021,122.55
10/12/2021,121.67
10/13/2021,121.11
10/14/2021,127.9
10/15/2021,129.98
10/18/2021,129.66
10/19/2021,129.25
10/20/2021,130.83
10/21/2021,133.87
10/22/2021,137.28
10/25/2021,136.13
10/26/2021,132.85
10/27/2021,135.03
10/28/2021,138.71
10/29/2021,140.78
11/1/2021,142.91
11/2/2021,144.24
11/3/2021,146.12
11/4/2021,148.44
11/5/2021,145.34
11/8/2021,147.95
11/9/2021,148.47
11/10/2021,145.18
11/11/2021,149.87
11/12/2021,149.76
11/15/2021,149.97
11/16/2021,153.12
11/17/2021,152.67
11/18/2021,153.82
11/19/2021,154.01
11/22/2021,151.52
11/23/2021,150.09
11/24/2021,151.55
11/26/2021,149.01
11/29/2021,154.75
11/30/2021,146.08
12/1/2021,148.66
12/2/2021,153.25
12/3/2021,148.04
12/6/2021,145.29
12/7/2021,153.2
12/8/2021,152.96
12/9/2021,146.65
12/10/2021,146.89
12/13/2021,142.28
12/14/2021,143.22
12/15/2021,142.54
12/16/2021,133.43
12/17/2021,132.96
12/20/2021,129.84
12/21/2021,132.96
12/22/2021,133.47
12/23/2021,136.78
12/27/2021,140.94
12/28/2021,139.51
12/29/2021,138.9
12/30/2021,138.24
12/31/2021,138.58
1/3/2022,138.39
1/4/2022,139.22
1/5/2022,132.09
1/6/2022,134.97
1/7/2022,132.01
1/10/2022,133.91
1/11/2022,135.09
1/12/2022,135.16
1/13/2022,131.82
1/14/2022,133.62
1/18/2022,127.48
1/19/2022,127.42
1/20/2022,123.94
1/21/2022,120.23
1/24/2022,122.85
1/25/2022,116.24
1/26/2022,116.44
1/27/2022,109.73
1/28/2022,111.49
1/31/2022,119.84
2/1/2022,128.44
2/2/2022,132.55
2/3/2022,126.11
2/4/2022,128.56
2/7/2022,127.44
2/8/2022,130
2/9/2022,133.59
2/10/2022,131.63
2/11/2022,124.48
2/14/2022,126.04
2/15/2022,134.06
2/16/2022,135.39
2/17/2022,133.5
2/18/2022,130.19
2/22/2022,126.85
2/23/2022,124.37
2/24/2022,132.19
2/25/2022,133.34
2/28/2022,130.48
3/1/2022,123.04
3/2/2022,126
3/3/2022,122.78
3/4/2022,116.31
3/7/2022,114.99
3/8/2022,119.69
3/9/2022,125.33
3/10/2022,123.73
3/11/2022,120.77
3/14/2022,119.75
