Date,Close
11/30/2020,9.9
12/1/2020,9.85
12/2/2020,9.9
12/3/2020,9.9
12/4/2020,10
12/7/2020,10.03
12/8/2020,9.93
12/9/2020,10.03
12/10/2020,10.02
12/11/2020,10.05
12/14/2020,10.19
12/15/2020,10.13
12/16/2020,10.2
12/17/2020,10.3
12/18/2020,10.27
12/21/2020,10.29
12/22/2020,10.31
12/23/2020,10.41
12/24/2020,10.45
12/28/2020,10.46
12/29/2020,10.37
12/30/2020,10.26
12/31/2020,10.08
1/4/2021,10.1
1/5/2021,10.22
1/6/2021,10.24
1/7/2021,10.34
1/8/2021,10.31
1/11/2021,10.42
1/12/2021,10.51
1/13/2021,10.65
1/14/2021,10.6
1/15/2021,10.63
1/19/2021,10.51
1/20/2021,10.65
1/21/2021,10.61
1/22/2021,10.68
1/25/2021,10.9
1/26/2021,10.49
1/27/2021,10.27
1/28/2021,10.3
1/29/2021,10.35
2/1/2021,10.55
2/2/2021,10.68
2/3/2021,10.73
2/4/2021,10.74
2/5/2021,10.79
2/8/2021,10.74
2/9/2021,10.9
2/10/2021,10.93
2/11/2021,10.76
2/12/2021,10.72
2/16/2021,10.8
2/17/2021,10.71
2/18/2021,10.73
2/19/2021,10.81
2/22/2021,10.71
2/23/2021,10.59
2/24/2021,10.62
2/25/2021,10.4
2/26/2021,10.4
3/1/2021,10.37
3/2/2021,10.29
3/3/2021,10.1
3/4/2021,10
3/5/2021,10
3/8/2021,9.95
3/9/2021,9.97
3/10/2021,10
3/11/2021,9.98
3/12/2021,10.05
3/15/2021,9.97
3/16/2021,10.01
3/17/2021,10
3/18/2021,9.96
3/19/2021,9.9
3/22/2021,9.94
3/23/2021,9.86
3/24/2021,9.75
3/25/2021,9.73
3/26/2021,9.88
3/29/2021,9.88
3/30/2021,9.89
3/31/2021,9.81
4/1/2021,9.8
4/5/2021,9.85
4/6/2021,9.86
4/7/2021,9.9
4/8/2021,9.99
4/9/2021,9.97
4/12/2021,9.91
4/13/2021,9.93
4/14/2021,9.92
4/15/2021,9.88
4/16/2021,9.89
4/19/2021,9.84
4/20/2021,9.83
4/21/2021,9.85
4/22/2021,9.83
4/23/2021,9.9
4/26/2021,9.88
4/27/2021,9.84
4/28/2021,9.83
4/29/2021,9.88
4/30/2021,9.88
5/3/2021,9.83
5/4/2021,9.88
5/5/2021,9.8
5/6/2021,9.86
5/7/2021,9.9
5/10/2021,9.86
5/11/2021,9.88
5/12/2021,9.86
5/13/2021,9.85
5/14/2021,9.85
5/17/2021,9.86
5/18/2021,9.87
5/19/2021,9.87
5/20/2021,9.86
5/21/2021,9.85
5/24/2021,9.84
5/25/2021,9.85
5/26/2021,9.88
5/27/2021,9.9
