Date,Close
9/1/2020,39.17
9/2/2020,40.17
9/3/2020,39.64
9/4/2020,40.08
9/8/2020,38.14
9/9/2020,37.8
9/10/2020,37.37
9/11/2020,38.64
9/14/2020,39.7
9/15/2020,38.69
9/16/2020,40.33
9/17/2020,39.46
9/18/2020,37.49
9/21/2020,34.52
9/22/2020,34.47
9/23/2020,32.61
9/24/2020,32.57
9/25/2020,33.4
9/28/2020,34.35
9/29/2020,33.5
9/30/2020,33.55
10/1/2020,35.3
10/2/2020,37.15
10/5/2020,37.46
10/6/2020,36.91
10/7/2020,37.63
10/8/2020,38.19
10/9/2020,37.02
10/12/2020,37.45
10/13/2020,35.79
10/14/2020,35.7
10/15/2020,36.42
10/16/2020,35.53
10/19/2020,36.35
10/20/2020,34.1
10/21/2020,32.02
10/22/2020,33.49
10/23/2020,35.5
10/26/2020,33.25
10/27/2020,32.79
10/28/2020,31.71
10/29/2020,32.84
10/30/2020,33.48
11/2/2020,34.93
11/3/2020,35.34
11/4/2020,33.89
11/5/2020,35.57
11/6/2020,35.33
11/9/2020,40.78
11/10/2020,41.97
11/11/2020,42.11
11/12/2020,42.08
11/13/2020,45.5
11/16/2020,49.58
11/17/2020,51.86
11/18/2020,50.08
11/19/2020,49.7
11/20/2020,48.36
11/23/2020,51.66
11/24/2020,52.76
11/25/2020,51.95
11/27/2020,51.9
11/30/2020,49.52
12/1/2020,50.79
12/2/2020,53.24
12/3/2020,56
12/4/2020,55.95
12/7/2020,54.56
12/8/2020,53.89
12/9/2020,53.63
12/10/2020,54
12/11/2020,51.79
12/14/2020,49.89
12/15/2020,50.69
12/16/2020,49.01
12/17/2020,48.11
12/18/2020,48.64
12/21/2020,47.77
12/22/2020,47.32
12/23/2020,48.78
12/24/2020,48.79
12/28/2020,48
12/29/2020,47.66
12/30/2020,48.73
12/31/2020,48.49
1/4/2021,46.58
1/5/2021,49.17
1/6/2021,50.95
1/7/2021,50.92
1/8/2021,48.63
1/11/2021,48.27
1/12/2021,48.92
