Date,Close
9/1/2020,6.1
9/2/2020,6.2
9/3/2020,6.19
9/4/2020,6.06
9/8/2020,6.01
9/9/2020,6.4
9/10/2020,6.6
9/11/2020,7.05
9/14/2020,7.26
9/15/2020,7.61
9/16/2020,8.3
9/17/2020,11
9/28/2020,37
9/29/2020,25.38
9/30/2020,23.42
10/1/2020,25.31
10/2/2020,26.11
10/5/2020,34.66
10/6/2020,42
10/7/2020,42.84
10/8/2020,38.85
10/9/2020,39.11
10/12/2020,34.4
10/13/2020,32
10/14/2020,33.71
10/15/2020,32.8
10/16/2020,30.14
10/19/2020,29.2
10/22/2020,27.01
10/23/2020,25.78
10/26/2020,24.29
10/27/2020,23.3
10/28/2020,21.2
10/29/2020,21.63
10/30/2020,19.94
11/2/2020,20.97
11/3/2020,23.88
11/4/2020,22.45
11/5/2020,24.3
11/6/2020,22.51
11/9/2020,22.81
11/10/2020,23.78
11/11/2020,24.44
11/12/2020,26.4
11/13/2020,26.72
11/16/2020,29.71
11/17/2020,28.01
11/18/2020,25.96
11/19/2020,27.06
11/20/2020,26.34
11/23/2020,29
11/24/2020,28.37
11/25/2020,28.69
11/27/2020,29.3
11/30/2020,27.94
12/1/2020,25.88
12/2/2020,25.75
12/3/2020,26.68
12/4/2020,25.39
12/7/2020,26.88
12/8/2020,27.25
12/9/2020,25.94
12/10/2020,25.7
12/11/2020,26
12/14/2020,24.85
12/15/2020,25.51
12/16/2020,26.2
12/17/2020,26.85
12/18/2020,28.06
12/21/2020,27.85
12/22/2020,31.15
12/23/2020,29.4
12/24/2020,28.48
12/28/2020,28.07
12/29/2020,27.06
12/30/2020,27.49
12/31/2020,26.55
1/4/2021,28.65
1/5/2021,32.25
1/6/2021,30.05
1/7/2021,34.97
1/8/2021,33.88
1/11/2021,33.39
1/12/2021,34.76
1/13/2021,35.99
1/14/2021,40
1/15/2021,40.91
1/19/2021,46.13
1/20/2021,43.9
1/21/2021,49.69
1/22/2021,48.14
1/25/2021,55.25
1/26/2021,60.56
1/27/2021,62.32
1/28/2021,55.28
1/29/2021,49.68
2/1/2021,53.87
2/2/2021,53.31
2/3/2021,51.51
2/4/2021,52.97
2/5/2021,50.43
2/8/2021,57.7
2/9/2021,59.62
2/10/2021,58.81
2/11/2021,53.74
2/12/2021,56.39
2/16/2021,60.51
2/17/2021,58.37
2/18/2021,54.62
2/19/2021,59.4
2/22/2021,56.58
2/23/2021,55.7
2/24/2021,63.4
2/25/2021,64.06
2/26/2021,67.17
3/1/2021,73.73
3/2/2021,80.78
3/3/2021,74.31
3/4/2021,60.21
3/5/2021,55.5
3/8/2021,56.02
3/9/2021,68.18
3/10/2021,67.35
3/11/2021,72.6
3/12/2021,71.82
3/15/2021,79.3
3/16/2021,76.63
3/17/2021,76.83
3/18/2021,79.6
3/19/2021,78.94
3/22/2021,81.71
3/24/2021,68.32
3/25/2021,70.35
3/26/2021,70.4
3/29/2021,64
3/30/2021,63.26
3/31/2021,69.49
4/1/2021,68.1
4/5/2021,66.52
4/6/2021,68.11
4/7/2021,65.72
4/8/2021,72.67
4/9/2021,69.3
4/12/2021,67.03
4/13/2021,69.51
4/14/2021,68
4/15/2021,67.24
4/16/2021,65.07
4/19/2021,65.98
4/20/2021,63.68
4/21/2021,67.57
4/22/2021,67.21
4/23/2021,69.77
4/26/2021,73.83
4/27/2021,74.9
4/28/2021,73.65
4/29/2021,72.37
4/30/2021,70.7
5/3/2021,68.32
5/4/2021,67.7
5/5/2021,68
5/6/2021,65.24
5/7/2021,65.86
5/10/2021,63.6
5/11/2021,62.66
5/12/2021,57.46
5/13/2021,54.89
5/14/2021,58.37
5/17/2021,61
5/18/2021,65.46
5/19/2021,61.31
5/20/2021,61.42
5/21/2021,60.67
5/24/2021,62.83
5/25/2021,63.68
5/26/2021,63.55
5/27/2021,64.94
5/28/2021,64.9
6/1/2021,66.42
6/2/2021,68.8
6/3/2021,69.14
6/4/2021,71.88
6/7/2021,69.22
6/8/2021,68.64
6/9/2021,69.72
6/10/2021,73.12
6/11/2021,73.31
6/14/2021,71.18
6/15/2021,69.12
6/16/2021,70.37
6/17/2021,68.83
6/18/2021,67.85
6/21/2021,67.89
6/22/2021,69.17
6/23/2021,74.11
6/24/2021,72.5
6/25/2021,72.94
6/28/2021,75.84
6/29/2021,76.8
6/30/2021,78.16
7/1/2021,76.72
7/2/2021,77.8
7/6/2021,70.88
7/7/2021,68.17
7/8/2021,67.86
7/9/2021,71.05
7/12/2021,72.95
7/13/2021,69.19
7/14/2021,66.99
