Date,Close
9/1/2020,32.54
9/2/2020,33.27
9/3/2020,31.64
9/4/2020,31.71
9/8/2020,31.3
9/9/2020,31.88
9/10/2020,30.77
9/11/2020,31.12
9/14/2020,32.62
9/15/2020,33.01
9/16/2020,33.15
9/17/2020,33.58
9/18/2020,33.63
9/21/2020,32.14
9/22/2020,32.1
9/23/2020,28.3
9/24/2020,28.79
9/25/2020,29.43
9/28/2020,30.19
9/29/2020,30.63
9/30/2020,31.67
10/1/2020,30.84
10/2/2020,31.76
10/5/2020,34.64
10/6/2020,33.76
10/7/2020,34.6
10/8/2020,34.61
10/9/2020,34.72
10/12/2020,34.56
10/13/2020,33.88
10/14/2020,33.73
10/15/2020,33.51
10/16/2020,33.8
10/19/2020,33.85
10/20/2020,34.19
10/21/2020,35.8
10/22/2020,36.31
10/23/2020,36.42
10/26/2020,35.59
10/27/2020,36.46
10/28/2020,34.93
10/29/2020,36.23
10/30/2020,36.16
11/2/2020,37.04
11/3/2020,37.12
11/4/2020,36.34
11/5/2020,40.04
11/6/2020,40.24
11/9/2020,40.87
11/10/2020,41.21
11/11/2020,41.1
11/12/2020,41.18
11/13/2020,42.61
11/16/2020,44.54
11/17/2020,44.34
11/18/2020,44.29
11/19/2020,43.62
11/20/2020,44.06
11/23/2020,46.22
11/24/2020,46.99
11/25/2020,47.23
11/27/2020,47.04
11/30/2020,45.98
12/1/2020,45.7
12/2/2020,44.85
12/3/2020,44.05
12/4/2020,46.22
12/7/2020,46.06
12/8/2020,46.72
12/9/2020,45.89
12/10/2020,46.01
12/11/2020,45.13
12/14/2020,44.66
12/15/2020,45.67
12/16/2020,45.72
12/17/2020,46.5
12/18/2020,46.16
12/21/2020,46.58
12/22/2020,48.59
12/23/2020,48.37
12/24/2020,46.78
12/28/2020,48.07
12/29/2020,47.16
12/30/2020,48.08
12/31/2020,47.96
1/4/2021,49.92
1/5/2021,53.74
1/6/2021,56.07
1/7/2021,58.08
1/8/2021,55.78
1/11/2021,56.01
1/12/2021,58.68
1/13/2021,57.52
1/14/2021,56.53
1/15/2021,55.2
1/19/2021,56.76
1/20/2021,56.64
1/21/2021,55.86
1/22/2021,55.45
1/25/2021,54.84
1/26/2021,53.51
1/27/2021,51.81
1/28/2021,52.31
1/29/2021,49.77
2/1/2021,50.83
2/2/2021,52.01
2/3/2021,51.16
2/4/2021,49.69
2/5/2021,51.25
2/8/2021,53.77
2/9/2021,52.34
2/10/2021,52.28
2/11/2021,53.03
2/12/2021,55.36
2/16/2021,56.14
2/17/2021,54.35
2/18/2021,51.79
2/19/2021,54.93
2/22/2021,56.67
2/23/2021,55.43
2/24/2021,56.62
2/25/2021,53.57
2/26/2021,52.36
3/1/2021,53.57
3/2/2021,54.78
3/3/2021,53.2
3/4/2021,49.3
3/5/2021,49.86
3/8/2021,48.64
3/9/2021,51.17
3/10/2021,53.63
3/11/2021,56.38
3/12/2021,55.69
3/15/2021,55.79
3/16/2021,54.1
3/17/2021,54.69
3/18/2021,52.55
3/19/2021,53.28
3/22/2021,52.83
3/23/2021,50.88
3/24/2021,50.76
3/25/2021,51.38
3/26/2021,51.25
3/29/2021,51.13
3/30/2021,53.38
3/31/2021,53.07
4/1/2021,54.28
4/5/2021,53.82
4/6/2021,53.84
4/7/2021,52.75
4/8/2021,53.5
4/9/2021,53.54
4/12/2021,52.51
4/13/2021,51.83
4/14/2021,53.68
4/15/2021,54.1
4/16/2021,55.1
4/19/2021,55.66
4/20/2021,53.92
4/21/2021,53.31
4/22/2021,52.78
4/23/2021,53.52
4/26/2021,55.69
4/27/2021,54.66
4/28/2021,54.15
4/29/2021,52.8
4/30/2021,52.74
5/3/2021,52.57
5/4/2021,52.68
5/5/2021,54.57
5/6/2021,53.14
5/7/2021,55.02
5/10/2021,55.36
5/11/2021,53.3
5/12/2021,51.48
5/13/2021,51.07
5/14/2021,52.31
5/17/2021,46.96
5/18/2021,46.2
5/19/2021,42.43
5/20/2021,41.45
5/21/2021,42.09
5/24/2021,42.25
5/25/2021,41.61
5/26/2021,41.82
5/27/2021,42.65
5/28/2021,43.37
6/1/2021,44.51
6/2/2021,46.09
6/3/2021,45.07
6/4/2021,45.74
6/7/2021,45.65
6/8/2021,46.79
6/9/2021,47.57
6/10/2021,47.25
6/11/2021,47.87
6/14/2021,47.19
6/15/2021,46.8
6/16/2021,45.84
6/17/2021,44.21
6/18/2021,42.48
6/21/2021,43.57
6/22/2021,44.98
6/23/2021,46.12
6/24/2021,46.66
6/25/2021,47.19
6/28/2021,47.09
6/29/2021,47.36
6/30/2021,47.33
7/1/2021,47.4
7/2/2021,48.23
7/6/2021,45.8
