Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Ticker
9/1/2020,97.39,9/1/2020,14.72,9/1/2020,117.66,9/1/2020,37.78,9/1/2020,155.35,9/1/2020,29.44,9/1/2020,68.86,11/30/2020,9.9,9/1/2020,110.15,9/1/2020,39.17,9/1/2020,9,9/1/2020,6.1,9/1/2020,32.54,ALB
9/2/2020,99.65,9/2/2020,14.95,9/2/2020,121.16,9/2/2020,38.41,9/2/2020,160.99,9/2/2020,30.13,9/2/2020,70.74,12/1/2020,9.85,9/2/2020,112.26,9/2/2020,40.17,9/2/2020,9.26,9/2/2020,6.2,9/2/2020,33.27,AVD
9/3/2020,93.18,9/3/2020,14.52,9/3/2020,119.08,9/3/2020,37.47,9/3/2020,155.69,9/3/2020,29.41,9/3/2020,66.9,12/2/2020,9.9,9/3/2020,109.43,9/3/2020,39.64,9/3/2020,8.67,9/3/2020,6.19,9/3/2020,31.64,AVY
9/4/2020,94.72,9/4/2020,14.47,9/4/2020,119.08,9/4/2020,38.51,9/4/2020,152.8,9/4/2020,29.32,9/4/2020,66.54,12/3/2020,9.9,9/4/2020,108.48,9/4/2020,40.08,9/4/2020,8.65,9/4/2020,6.06,9/4/2020,31.71,CBT
9/8/2020,93.14,9/8/2020,14.03,9/8/2020,114.06,9/8/2020,37.28,9/8/2020,142.58,9/8/2020,28.3,9/8/2020,62.51,12/4/2020,10,9/8/2020,105.64,9/8/2020,38.14,9/8/2020,8.38,9/8/2020,6.01,9/8/2020,31.3,CCMP
9/9/2020,95.42,9/9/2020,14.08,9/9/2020,116.35,9/9/2020,38.41,9/9/2020,144.9,9/9/2020,28.74,9/9/2020,64.8,12/7/2020,10.03,9/9/2020,107.91,9/9/2020,37.8,9/9/2020,8.63,9/9/2020,6.4,9/9/2020,31.88,CTVA
9/10/2020,93.5,9/10/2020,14.17,9/10/2020,116.04,9/10/2020,37.91,9/10/2020,144.43,9/10/2020,29.14,9/10/2020,64.99,12/8/2020,9.93,9/10/2020,107.76,9/10/2020,37.37,9/10/2020,8.46,9/10/2020,6.6,9/10/2020,30.77,ENTG
9/11/2020,94.96,9/11/2020,14.13,9/11/2020,119.79,9/11/2020,37.86,9/11/2020,142.07,9/11/2020,29.02,9/11/2020,65.39,12/9/2020,10.03,9/11/2020,108.56,9/11/2020,38.64,9/11/2020,8.69,9/11/2020,7.05,9/11/2020,31.12,GWH
9/14/2020,98.17,9/14/2020,14.31,9/14/2020,121.81,9/14/2020,38.47,9/14/2020,146.16,9/14/2020,28.97,9/14/2020,67.65,12/10/2020,10.02,9/14/2020,110.53,9/14/2020,39.7,9/14/2020,8.99,9/14/2020,7.26,9/14/2020,32.62,FMC
9/15/2020,98.39,9/15/2020,14.85,9/15/2020,128.02,9/15/2020,38.34,9/15/2020,147.07,9/15/2020,29.45,9/15/2020,68.98,12/11/2020,10.05,9/15/2020,111.8,9/15/2020,38.69,9/15/2020,9.36,9/15/2020,7.61,9/15/2020,33.01,HXL
9/16/2020,97.8,9/16/2020,14.64,9/16/2020,128.33,9/16/2020,38.75,9/16/2020,147.79,9/16/2020,29.23,9/16/2020,68.09,12/14/2020,10.19,9/16/2020,110.67,9/16/2020,40.33,9/16/2020,9,9/16/2020,8.3,9/16/2020,33.15,LTHM
9/17/2020,100.45,9/17/2020,14.48,9/17/2020,128.69,9/17/2020,40.11,9/17/2020,146.5,9/17/2020,29.58,9/17/2020,68.11,12/15/2020,10.13,9/17/2020,112.85,9/17/2020,39.46,9/17/2020,8.97,9/17/2020,11,9/17/2020,33.58,PLL
9/18/2020,97.96,9/18/2020,14.08,9/18/2020,125.48,9/18/2020,39.49,9/18/2020,140.46,9/18/2020,28.99,9/18/2020,66.56,12/16/2020,10.2,9/18/2020,110.56,9/18/2020,37.49,9/18/2020,9.05,9/28/2020,37,9/18/2020,33.63,SQM
9/21/2020,95.13,9/21/2020,13.58,9/21/2020,121.2,9/21/2020,35.76,9/21/2020,135.21,9/21/2020,28.22,9/21/2020,66.6,12/17/2020,10.3,9/21/2020,106.45,9/21/2020,34.52,9/21/2020,8.38,9/29/2020,25.38,9/21/2020,32.14,
9/22/2020,95.24,9/22/2020,13.49,9/22/2020,122.01,9/22/2020,35.96,9/22/2020,138.83,9/22/2020,28.09,9/22/2020,67.07,12/18/2020,10.27,9/22/2020,107.55,9/22/2020,34.47,9/22/2020,8.32,9/30/2020,23.42,9/22/2020,32.1,
9/23/2020,80.42,9/23/2020,12.85,9/23/2020,118.71,9/23/2020,35.51,9/23/2020,135.07,9/23/2020,27.46,9/23/2020,66.91,12/21/2020,10.29,9/23/2020,104.51,9/23/2020,32.61,9/23/2020,7.57,10/1/2020,25.31,9/23/2020,28.3,
9/24/2020,83.31,9/24/2020,12.96,9/24/2020,117.36,9/24/2020,35.37,9/24/2020,137.08,9/24/2020,27.63,9/24/2020,68.2,12/22/2020,10.31,9/24/2020,104.05,9/24/2020,32.57,9/24/2020,7.7,10/2/2020,26.11,9/24/2020,28.79,
9/25/2020,84.52,9/25/2020,12.86,9/25/2020,119.3,9/25/2020,35.23,9/25/2020,137.68,9/25/2020,28.38,9/25/2020,69.22,12/23/2020,10.41,9/25/2020,105.42,9/25/2020,33.4,9/25/2020,7.88,10/5/2020,34.66,9/25/2020,29.43,
9/28/2020,84.84,9/28/2020,13.35,9/28/2020,123.01,9/28/2020,36.4,9/28/2020,142.44,9/28/2020,28.97,9/28/2020,71.4,12/24/2020,10.45,9/28/2020,106.32,9/28/2020,34.35,9/28/2020,8.42,10/6/2020,42,9/28/2020,30.19,
9/29/2020,86.86,9/29/2020,13.44,9/29/2020,124.59,9/29/2020,36.04,9/29/2020,142.49,9/29/2020,28.59,9/29/2020,73.2,12/28/2020,10.46,9/29/2020,105.31,9/29/2020,33.5,9/29/2020,9.09,10/7/2020,42.84,9/29/2020,30.63,
9/30/2020,89.28,9/30/2020,13.14,9/30/2020,127.84,9/30/2020,36.03,9/30/2020,142.81,9/30/2020,28.81,9/30/2020,74.34,12/29/2020,10.37,9/30/2020,105.91,9/30/2020,33.55,9/30/2020,8.97,10/8/2020,38.85,9/30/2020,31.67,
10/1/2020,86.73,10/1/2020,13.13,10/1/2020,124.65,10/1/2020,36.29,10/1/2020,145.99,10/1/2020,28.68,10/1/2020,76.65,12/30/2020,10.26,10/1/2020,103.19,10/1/2020,35.3,10/1/2020,9.03,10/9/2020,39.11,10/1/2020,30.84,
10/2/2020,89.29,10/2/2020,13.22,10/2/2020,124.33,10/2/2020,37.92,10/2/2020,142.43,10/2/2020,29.37,10/2/2020,75.92,12/31/2020,10.08,10/2/2020,103.61,10/2/2020,37.15,10/2/2020,9.56,10/12/2020,34.4,10/2/2020,31.76,
10/5/2020,94.76,10/5/2020,14.02,10/5/2020,128.22,10/5/2020,39.69,10/5/2020,147.91,10/5/2020,30.11,10/5/2020,78.9,1/4/2021,10.1,10/5/2020,105.33,10/5/2020,37.46,10/5/2020,11.29,10/13/2020,32,10/5/2020,34.64,
10/6/2020,93.74,10/6/2020,13.81,10/6/2020,126.34,10/6/2020,39.57,10/6/2020,147.64,10/6/2020,30.09,10/6/2020,80.09,1/5/2021,10.22,10/6/2020,103.82,10/6/2020,36.91,10/6/2020,11.42,10/14/2020,33.71,10/6/2020,33.76,
10/7/2020,96.69,10/7/2020,14,10/7/2020,129.56,10/7/2020,40.96,10/7/2020,152.71,10/7/2020,30.53,10/7/2020,81.76,1/6/2021,10.24,10/7/2020,106.28,10/7/2020,37.63,10/7/2020,11.97,10/15/2020,32.8,10/7/2020,34.6,
10/8/2020,96.95,10/8/2020,14.62,10/8/2020,132.06,10/8/2020,40.8,10/8/2020,155.46,10/8/2020,32.33,10/8/2020,82.15,1/7/2021,10.34,10/8/2020,106.06,10/8/2020,38.19,10/8/2020,11.72,10/16/2020,30.14,10/8/2020,34.61,
10/9/2020,96.03,10/9/2020,14.84,10/9/2020,130.5,10/9/2020,40.68,10/9/2020,156.55,10/9/2020,33.43,10/9/2020,82.75,1/8/2021,10.31,10/9/2020,108.02,10/9/2020,37.02,10/9/2020,11.43,10/19/2020,29.2,10/9/2020,34.72,
10/12/2020,94.94,10/12/2020,15.14,10/12/2020,129.31,10/12/2020,41.02,10/12/2020,159.22,10/12/2020,33.59,10/12/2020,83.61,1/11/2021,10.42,10/12/2020,109.03,10/12/2020,37.45,10/12/2020,11.07,10/22/2020,27.01,10/12/2020,34.56,
10/13/2020,95.14,10/13/2020,14.54,10/13/2020,129.44,10/13/2020,40.53,10/13/2020,157.8,10/13/2020,33.7,10/13/2020,83.91,1/12/2021,10.51,10/13/2020,108.48,10/13/2020,35.79,10/13/2020,11.01,10/23/2020,25.78,10/13/2020,33.88,
10/14/2020,94.59,10/14/2020,14.49,10/14/2020,131.18,10/14/2020,40.7,10/14/2020,156.1,10/14/2020,33.82,10/14/2020,82.43,1/13/2021,10.65,10/14/2020,109.43,10/14/2020,35.7,10/14/2020,11,10/26/2020,24.29,10/14/2020,33.73,
10/15/2020,94.35,10/15/2020,14.27,10/15/2020,132.86,10/15/2020,40.9,10/15/2020,158.25,10/15/2020,33.99,10/15/2020,82.02,1/14/2021,10.6,10/15/2020,109.07,10/15/2020,36.42,10/15/2020,10.97,10/27/2020,23.3,10/15/2020,33.51,
